time_sec,band
0,7.7993
0.1,7.6293
0.2,3.5936
0.3,3.5623
0.4,3.6449
0.5,4.4851
0.6,3.8422
0.7,4.0011
0.8,3.9884
0.9,8.4571
1,7.6156
1.1,9.6234
1.2,7.0031
1.3,10.6025
1.4,7.1202
1.5,8.0343
1.6,7.6012
1.7,7.726
1.8,7.4662
1.9,7.5591
2,8.3228
2.1,9.1105
2.2,6.9437
2.3,7.6379
2.4,8.1905
2.5,7.8315
2.6,7.9298
2.7,5.4447
2.8,8.8272
2.9,7.989
3,6.1101
3.1,8.8969
3.2,9.2004
3.3,8.3882
3.4,8.5067
3.5,6.3996
3.6,7.7688
3.7,8.6054
3.8,7.9851
3.9,8.419
4,8.7485
4.1,8.4028
4.2,7.8829
4.3,8.0557
4.4,7.604
4.5,7.3818
4.6,7.6804
4.7,6.6855
4.8,7.4144
4.9,7.6032
5,7.2066
5.1,9.3716
5.2,8.1656
5.3,7.8841
5.4,6.7787
5.5,7.3081
5.6,6.4929
5.7,7.7066
5.8,8.6878
5.9,6.9849
6,9.9714
6.1,7.4863
6.2,7.4576
6.3,9.7461
6.4,8.8315
6.5,7.1442
6.6,7.0573
6.7,7.6918
6.8,8.6389
6.9,7.2221
7,6.8635
7.1,8.0345
7.2,7.3333
7.3,7.6038
7.4,7.3786
7.5,7.2735
7.6,8.0719
7.7,9.1088
7.8,7.8909
7.9,7.8563
8,7.4557
8.1,9.6315
8.2,7.837
8.3,9.3209
8.4,5.8043
8.5,8.6041
8.6,7.2631
8.7,8.4043
8.8,8.9723
8.9,8.0928
9,8.6852
9.1,7.7066
9.2,7.691
9.3,8.4154
9.4,8.3844
9.5,7.5456
9.6,9.3944
9.7,8.5193
9.8,8.0863
9.9,7.9611
10,7.3478
10.1,7.5333
10.2,7.5026
10.3,7.3182
10.4,6.6508
10.5,8.4346
10.6,7.9989
10.7,7.1749
10.8,6.0749
10.9,7.7387
11,6.9341
11.1,8.6841
11.2,7.799
11.3,7.2523
11.4,9.5692
11.5,6.5139
11.6,7.9065
11.7,7.6461
11.8,8.308
11.9,6.9329
12,8.7924
12.1,6.6487
12.2,3.7701
12.3,3.5113
12.4,4.1201
12.5,4.0134
12.6,3.6547
12.7,4.0103
12.8,3.5778
12.9,3.9878
13,3.7969
13.1,4.2908
13.2,4.0413
13.3,3.9126
13.4,4.2398
13.5,4.2334
13.6,4.0958
13.7,3.6996
13.8,3.6266
13.9,3.9061
14,3.5048
14.1,3.8786
14.2,4.2088
14.3,9.2724
14.4,7.1652
14.5,7.5932
14.6,6.5427
14.7,8.0425
14.8,8.0369
14.9,8.5421
15,7.9474
15.1,6.8561
15.2,6.0858
15.3,8.0045
15.4,7.26
15.5,8.217
15.6,6.84
15.7,8.2781
15.8,6.3391
15.9,8.4618
16,7.5066
16.1,7.9243
16.2,9.0195
16.3,8.8254
16.4,7.6187
16.5,9.4729
16.6,7.6944
16.7,7.5129
16.8,8.7915
16.9,7.6868
17,8.9418
17.1,9.3392
17.2,7.0872
17.3,8.0193
17.4,7.348
17.5,8.1608
17.6,7.0708
17.7,6.6803
17.8,7.5251
17.9,6.4842
18,8.9656
18.1,8.2806
18.2,7.3264
18.3,7.2329
18.4,8.5417
18.5,7.9152
18.6,7.5189
18.7,8.9656
18.8,8.573
18.9,7.0716
19,8.2569
19.1,8.6122
19.2,8.024
19.3,8.1795
19.4,7.9359
19.5,7.3682
19.6,6.2322
19.7,8.0707
19.8,6.8226
19.9,7.6712
20,6.6707
20.1,7.6977
20.2,6.7444
20.3,7.4515
20.4,8.3684
20.5,8.1606
20.6,7.5267
20.7,6.3235
20.8,8.3912
20.9,7.2813
21,7.2137
21.1,7.868
21.2,7.3208
21.3,7.7714
21.4,8.7242
21.5,9.1604
21.6,8.667
21.7,7.515
21.8,8.1575
21.9,7.3902
22,7.0433
22.1,9.1487
22.2,8.3394
22.3,9.385
22.4,8.4251
22.5,6.0867
22.6,8.8132
22.7,8.5602
22.8,8.1266
22.9,7.922
23,6.5341
23.1,8.1258
23.2,7.8562
23.3,7.2112
23.4,6.3085
23.5,8.9474
23.6,7.316
23.7,8.2088
23.8,9.1743
23.9,9.8421
24,9.5561
24.1,7.5788
24.2,7.1278
24.3,6.3705
24.4,8.3678
24.5,8.9854
24.6,7.1725
24.7,7.3112
24.8,6.9752
24.9,8.9592
25,9.0743
25.1,7.2504
25.2,9.0904
25.3,7.7798
25.4,7.6892
25.5,7.5002
25.6,7.3081
25.7,7.2418
25.8,6.6926
25.9,9.6297
26,8.5835
26.1,7.9169
26.2,8.6364
26.3,9.2654
26.4,7.1792
26.5,8.0008
26.6,7.9752
26.7,7.2632
26.8,8.1688
26.9,6.6336
27,8.1088
27.1,7.8938
27.2,5.5375
27.3,7.6046
27.4,8.4565
27.5,7.5115
27.6,7.1994
27.7,7.7545
27.8,8.1566
27.9,8.8945
28,8.9506
28.1,8.3552
28.2,8.186
28.3,6.6928
28.4,6.9647
28.5,8.2222
28.6,7.7994
28.7,8.1484
28.8,7.3638
28.9,8.0346
29,8.7647
29.1,8.0855
29.2,8.247
29.3,9.5255
29.4,7.532
29.5,7.868
29.6,7.01
29.7,8.7471
29.8,9.0787
29.9,8.2319
30,7.693
30.1,6.8162
30.2,7.5752
30.3,9.1463
30.4,6.7248
30.5,8.8996
30.6,8.0258
30.7,6.1471
30.8,8.5556
30.9,8.2299
31,7.2088
31.1,7.4589
31.2,4.1943
31.3,3.6089
31.4,4.4383
31.5,4.2491
31.6,4.0265
31.7,3.9232
31.8,3.9311
31.9,3.8934
32,3.7714
32.1,3.9766
32.2,3.6389
32.3,4.129
32.4,7.6116
32.5,8.4934
32.6,9.3534
32.7,6.2986
32.8,6.8722
32.9,9.9556
33,9.6113
33.1,9.3978
33.2,7.8128
33.3,7.2489
33.4,8.1748
33.5,8.5324
33.6,7.7117
33.7,7.963
33.8,8.5853
33.9,6.7973
34,7.7457
34.1,8.5145
34.2,7.4481
34.3,10.9455
34.4,5.3511
34.5,9.7629
34.6,7.7196
34.7,9.221
34.8,7.9982
34.9,7.4245
35,7.314
35.1,7.4458
35.2,7.4273
35.3,9.1544
35.4,8.7523
35.5,7.202
35.6,6.4963
35.7,8.1174
35.8,6.9708
35.9,7.5365
36,7.2665
36.1,8.7296
36.2,7.2736
36.3,7.6155
36.4,10.0151
36.5,7.0456
36.6,10.0186
36.7,7.0055
36.8,6.5321
36.9,8.2458
37,7.2499
37.1,10.1664
37.2,7.1593
37.3,7.4428
